Street Number,Street Name,City,State,ZIP Code,Latitude,Longitude
123,Main Street,Springfield,IL,62701,39.7817,-89.6501
456,Oak Avenue,Chicago,IL,60601,41.8781,-87.6298
789,Pine Road,Rockford,IL,61101,42.2711,-89.0940
321,Elm Street,Peoria,IL,61602,40.6936,-89.5890
654,Maple Drive,Joliet,IL,60435,41.5250,-88.0817
987,Cedar Lane,Naperville,IL,60540,41.7508,-88.1535
147,Birch Court,Aurora,IL,60505,41.7606,-88.3201
258,Willow Way,Elgin,IL,60120,42.0354,-88.2826
369,Poplar Place,Waukegan,IL,60085,42.3636,-87.8448
741,Hickory Hill,Decatur,IL,62521,39.8403,-88.9548
852,Walnut Street,Champaign,IL,61820,40.1164,-88.2434
963,Chestnut Avenue,Urbana,IL,61801,40.1106,-88.2073
159,Sycamore Road,Normal,IL,61761,40.5142,-88.9906
357,Dogwood Drive,Bloomington,IL,61701,40.4842,-88.9937
468,Magnolia Court,Rock Island,IL,61201,41.5095,-90.5787
579,Ash Street,Moline,IL,61265,41.5067,-90.5151
680,Cottonwood Lane,East Moline,IL,61244,41.5006,-90.4440
791,Basswood Boulevard,Silvis,IL,61282,41.5128,-90.4151
135,Redwood Ridge,Carbon Cliff,IL,61239,41.5086,-90.3734
246,Spruce Street,Hampton,IL,61256,41.5239,-90.4090
